prop_id,situs_num,situs_street,title_owner_name,property_use_cd,property_use_description,zoning,zoning_description,market_land_val,market_improvement_val,market,appraised_val_total,taxable_val_total,yr_blt,sqft_la,imprv_type,legal_description,tax_payer_name,tax_payer_city,tax_payer_state
155427,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 23-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155428,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 24-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155429,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 25-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155430,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 26-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155431,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 27-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155432,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 28-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155433,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 29-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155434,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 30-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155435,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 31-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155436,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 32-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155437,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 33-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155438,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 34-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
